Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
0,2022-09-29,3227008.326101589,400786,8.051699226274344,720.0
1,2022-09-30,2654193.4000146207,400786,6.622470345807041,400.0
2,2022-10-01,3728093.841152164,400786,9.301956258831806,20.0
3,2022-10-02,1685127.247495527,400786,4.204556165872877,300.0
4,2022-10-03,1164768.638672606,400786,2.9062108922781884,40.0
5,2022-10-04,901479.7477998117,400786,2.249279535212836,0.0
6,2022-10-05,871404.2453906432,400786,2.174238235344157,400.0
7,2022-10-06,715337.3280016296,400786,1.7848361170341018,0.0
8,2022-10-07,693019.9360259869,400786,1.729152056274388,0.0
9,2022-10-08,720968.9066019695,400786,1.798887452660446,0.0
10,2022-10-09,654619.248027777,400786,1.6333386097013791,0.0
11,2022-10-10,558139.9910591857,400786,1.3926134921359172,90.0
12,2022-10-11,594787.222984418,400786,1.4840518954864144,70.0
13,2022-10-12,526344.6093954585,400786,1.3132809264681362,70.0
14,2022-10-13,538833.3204684216,400786,1.3444414736752819,70.0
15,2022-10-14,480551.42520872696,400786,1.1990224838410697,330.0
16,2022-10-15,3536309.572538052,372850,9.484536871498062,70.0
17,2022-10-16,1722577.0343411288,372850,4.620026912541582,320.0
18,2022-10-17,1018905.608764218,372850,2.732749386520633,440.0
19,2022-10-18,1058388.3649478029,372850,2.8386438646850016,320.0
20,2022-10-19,780319.6582664346,372850,2.0928514369489997,0.0
21,2022-10-20,1367175.5912665743,372850,3.666824705019644,800.0
22,2022-10-21,855016.3272050914,372850,2.293191168580103,300.0
23,2022-10-22,721664.3255320436,372850,1.935535270301847,0.0
24,2022-10-23,914383.6732482566,372850,2.452416986048697,0.0
25,2022-10-24,558040.4307516419,372850,1.4966888313038538,420.0
26,2022-10-25,487653.06054313335,372850,1.307906827257968,0.0
27,2022-10-26,460250.25742772577,372850,1.234411311325535,0.0
28,2022-10-27,422840.4308999123,372850,1.134076521120859,0.0
29,2022-10-28,389985.8713361873,372850,1.045959156057898,0.0
30,2022-10-29,405091.8809666544,372850,1.0864741342809558,0.0
31,2022-10-30,376428.4906523037,372850,1.009597668371473,0.0
32,2022-10-31,352176.34642822115,372850,0.9445523573239135,0.0
33,2022-11-01,400539.8504266968,372850,1.0742653893702476,640.0
34,2022-11-02,95662.224457921,372850,0.256570268091514,90.0
35,2022-11-03,4911006.957272812,471989,10.404918244435382,80.0
36,2022-11-04,3413218.6437719758,471989,7.231563963931311,60.0
37,2022-11-05,2846702.1757944548,471989,6.0312892372374245,60.0
38,2022-11-06,2229442.2831498883,471989,4.723504749368923,60.0
39,2022-11-07,1844867.8109858872,471989,3.9087093364164995,60.0
40,2022-11-08,1802539.3234760307,471989,3.8190282474295603,180.0
41,2022-11-09,1461934.5899698362,471989,3.0973912315114043,0.0
42,2022-11-10,1641911.0324326311,471989,3.4787061402546056,350.0
43,2022-11-11,1571551.5545265072,471989,3.329635975682711,180.0
44,2022-11-12,1603581.3320839324,471989,3.39749725541047,180.0
45,2022-11-13,1521623.1153951276,471989,3.2238529190195693,180.0
46,2022-11-14,1288534.4321754612,471989,2.730009453981896,60.0
47,2022-11-15,1250537.494087,471989,2.6495055903569784,0.0
48,2022-11-16,1453996.2360497664,471989,3.0805722931037938,0.0
49,2022-11-17,1377655.4975168332,471989,2.9188296708542643,80.0
50,2022-11-18,1003704.037508037,471989,2.126541164111954,100.0
51,2022-11-19,3499538.274903319,409082,8.55461319467324,60.0
